2023-05-06 10:43:00,381 [main] INFO  [FederatedServerApplication] [RRN="] - [STAN="] - Starting FederatedServerApplication on Hasnain-Rabbani with PID 16876 (E:\Workspace\Eclipse\zeroinfinity\thesis\federated-server\federated-server\target\classes started by hp in E:\Workspace\Eclipse\zeroinfinity\thesis\federated-server\federated-server) 
2023-05-06 10:50:57,477 [http-nio-9090-exec-6] INFO  [RestServerServiceImpl] [RRN="] - [STAN="] - Incoming message signed successfully. 
2023-05-06 10:51:10,912 [http-nio-9090-exec-8] INFO  [ServiceController] [RRN="] - [STAN="] - Request received @ V1 
2023-05-06 10:51:10,912 [http-nio-9090-exec-8] INFO  [RestServerServiceImpl] [RRN="] - [STAN="] - Incoming signing request. Bank: HBL & Message: Hasnain here 
2023-05-06 10:51:10,913 [http-nio-9090-exec-8] INFO  [RestServerServiceImpl] [RRN="] - [STAN="] - Incoming message signed successfully. 
2023-05-06 10:57:25,664 [main] INFO  [FederatedServerApplication] [RRN="] - [STAN="] - Starting FederatedServerApplication on Hasnain-Rabbani with PID 18312 (E:\Workspace\Eclipse\zeroinfinity\thesis\federated-server\federated-server\target\classes started by hp in E:\Workspace\Eclipse\zeroinfinity\thesis\federated-server\federated-server) 
2023-05-06 10:57:25,667 [main] INFO  [FederatedServerApplication] [RRN="] - [STAN="] - No active profile set, falling back to default profiles: default 
2023-05-06 10:57:26,589 [main] INFO  [EnableEncryptablePropertiesBeanFactoryPostProcessor] [RRN="] - [STAN="] - Post-processing PropertySource instances 
2023-05-06 10:57:26,674 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource configurationProperties [org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource] to AOP Proxy 
2023-05-06 10:57:26,676 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource servletConfigInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper 
2023-05-06 10:57:26,676 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource servletContextInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper 
2023-05-06 10:57:26,677 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper 
2023-05-06 10:57:26,677 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableSystemEnvironmentPropertySourceWrapper 
2023-05-06 10:57:26,677 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper 
2023-05-06 10:57:26,677 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource applicationConfig: [file:./application.yml] [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper 
2023-05-06 10:57:26,813 [main] INFO  [DefaultLazyPropertyFilter] [RRN="] - [STAN="] - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter 
2023-05-06 10:57:27,360 [main] INFO  [TomcatWebServer] [RRN="] - [STAN="] - Tomcat initialized with port(s): 9090 (http) 
2023-05-06 10:57:27,370 [main] INFO  [Http11NioProtocol] [RRN="] - [STAN="] - Initializing ProtocolHandler ["http-nio-9090"] 
2023-05-06 10:57:27,371 [main] INFO  [StandardService] [RRN="] - [STAN="] - Starting service [Tomcat] 
2023-05-06 10:57:27,371 [main] INFO  [StandardEngine] [RRN="] - [STAN="] - Starting Servlet engine: [Apache Tomcat/9.0.36] 
2023-05-06 10:57:27,468 [main] INFO  [[/]] [RRN="] - [STAN="] - Initializing Spring embedded WebApplicationContext 
2023-05-06 10:57:27,469 [main] INFO  [ServletWebServerApplicationContext] [RRN="] - [STAN="] - Root WebApplicationContext: initialization completed in 1736 ms 
2023-05-06 10:57:27,477 [main] INFO  [DefaultLazyPropertyResolver] [RRN="] - [STAN="] - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver 
2023-05-06 10:57:27,480 [main] INFO  [DefaultLazyPropertyDetector] [RRN="] - [STAN="] - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector 
2023-05-06 10:57:28,049 [main] INFO  [DefaultSecurityFilterChain] [RRN="] - [STAN="] - Creating filter chain: Ant [pattern='/v2/api-docs'], [] 
2023-05-06 10:57:28,049 [main] INFO  [DefaultSecurityFilterChain] [RRN="] - [STAN="] - Creating filter chain: Ant [pattern='/configuration/ui'], [] 
2023-05-06 10:57:28,049 [main] INFO  [DefaultSecurityFilterChain] [RRN="] - [STAN="] - Creating filter chain: Ant [pattern='/swagger-resources/**'], [] 
2023-05-06 10:57:28,050 [main] INFO  [DefaultSecurityFilterChain] [RRN="] - [STAN="] - Creating filter chain: Ant [pattern='/configuration/**'], [] 
2023-05-06 10:57:28,050 [main] INFO  [DefaultSecurityFilterChain] [RRN="] - [STAN="] - Creating filter chain: Ant [pattern='/swagger-ui.html'], [] 
2023-05-06 10:57:28,050 [main] INFO  [DefaultSecurityFilterChain] [RRN="] - [STAN="] - Creating filter chain: Ant [pattern='/webjars/**'], [] 
2023-05-06 10:57:28,082 [main] INFO  [PropertySourcedRequestMappingHandlerMapping] [RRN="] - [STAN="] - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)] 
2023-05-06 10:57:28,154 [main] INFO  [DefaultSecurityFilterChain] [RRN="] - [STAN="] - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6dd1f638, org.springframework.security.web.context.SecurityContextPersistenceFilter@216e9ca3, org.springframework.security.web.header.HeaderWriterFilter@5981f4a6, org.springframework.web.filter.CorsFilter@414f13fc, org.springframework.security.web.authentication.logout.LogoutFilter@30c1da48, com.zeroinfinity.federatedserver.config.JwtRequestFilter@21e20ad5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@48976e6d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@38e7ed69, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4b76aa5a, org.springframework.security.web.session.SessionManagementFilter@4b4eced1, org.springframework.security.web.access.ExceptionTranslationFilter@54db056b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2e09c51] 
2023-05-06 10:57:28,211 [main] INFO  [ThreadPoolTaskExecutor] [RRN="] - [STAN="] - Initializing ExecutorService 'applicationTaskExecutor' 
2023-05-06 10:57:28,351 [main] INFO  [Http11NioProtocol] [RRN="] - [STAN="] - Starting ProtocolHandler ["http-nio-9090"] 
2023-05-06 10:57:28,375 [main] INFO  [TomcatWebServer] [RRN="] - [STAN="] - Tomcat started on port(s): 9090 (http) with context path '' 
2023-05-06 10:57:28,376 [main] INFO  [DocumentationPluginsBootstrapper] [RRN="] - [STAN="] - Context refreshed 
2023-05-06 10:57:28,397 [main] INFO  [DocumentationPluginsBootstrapper] [RRN="] - [STAN="] - Found 1 custom documentation plugin(s) 
2023-05-06 10:57:28,427 [main] INFO  [ApiListingReferenceScanner] [RRN="] - [STAN="] - Scanning for api listing references 
2023-05-06 10:57:28,609 [main] INFO  [CachingOperationNameGenerator] [RRN="] - [STAN="] - Generating unique operation named: signUsingPOST_1 
2023-05-06 10:57:28,633 [main] INFO  [FederatedServerApplication] [RRN="] - [STAN="] - Started FederatedServerApplication in 3.444 seconds (JVM running for 3.846) 
2023-05-06 10:57:32,632 [http-nio-9090-exec-1] INFO  [[/]] [RRN="] - [STAN="] - Initializing Spring DispatcherServlet 'dispatcherServlet' 
2023-05-06 10:57:32,632 [http-nio-9090-exec-1] INFO  [DispatcherServlet] [RRN="] - [STAN="] - Initializing Servlet 'dispatcherServlet' 
2023-05-06 10:57:32,638 [http-nio-9090-exec-1] INFO  [DispatcherServlet] [RRN="] - [STAN="] - Completed initialization in 6 ms 
2023-05-06 10:57:51,256 [http-nio-9090-exec-9] INFO  [JwtAuthenticationController] [RRN="] - [STAN="] - Authenticating : User : admin 
2023-05-06 10:59:13,102 [http-nio-9090-exec-4] INFO  [ServiceController] [RRN="] - [STAN="] - Request received @ V1 
2023-05-06 10:59:13,110 [http-nio-9090-exec-4] INFO  [RestServerServiceImpl] [RRN="] - [STAN="] - Incoming signing request. Bank: Sindh & Message: <DataPDU xmlns='urn:cma:stp:xsd:stp.1.0'><Body> <AppHdr xmlns='urn:iso:std:iso:20022:tech:xsd:head.001.001.01'><Fr><FIId><FinInstnId><BICFI>SINDPKKA</BICFI></FinInstnId></FIId></Fr><To><FIId><FinInstnId><BICFI>NBPBPKKA</BICFI></FinInstnId></FIId></To><BizMsgIdr>202209070000000</BizMsgIdr><MsgDefIdr>pacs.008.001.08</MsgDefIdr><BizSvc>MPG</BizSvc><CreDt>2022-09-07T18:18:00Z</CreDt></AppHdr><Document xmlns='urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08'><FIToFICstmrCdtTrf><GrpHdr><MsgId>MsgId1</MsgId><CreDtTm>2022-10-24T01:01:01+05:00</CreDtTm><BtchBookg>true</BtchBookg><NbOfTxs>1</NbOfTxs><SttlmInf><SttlmMtd>CLRG</SttlmMtd></SttlmInf></GrpHdr><CdtTrfTxInf><PmtId><InstrId>InstrId1</InstrId><EndToEndId>EndToEndId1</EndToEndId><TxId>TxId1</TxId></PmtId><PmtTpInf><ClrChanl>RTNS</ClrChanl><SvcLvl><Prtry>0100</Prtry></SvcLvl><LclInstrm><Prtry>CTAA</Prtry></LclInstrm><CtgyPurp><Prtry>001</Prtry></CtgyPurp></PmtTpInf><IntrBkSttlmAmt Ccy='PKR'>1</IntrBkSttlmAmt><IntrBkSttlmDt>2022-10-25</IntrBkSttlmDt><ChrgBr>SLEV</ChrgBr><InstgAgt><FinInstnId><ClrSysMmbId><MmbId>SINDPKKA</MmbId></ClrSysMmbId></FinInstnId></InstgAgt><InstdAgt><FinInstnId><ClrSysMmbId><MmbId>NBPBPKKA</MmbId></ClrSysMmbId></FinInstnId></InstdAgt><Dbtr><Nm>Asad Ali</Nm></Dbtr><DbtrAcct><Id><IBAN>PK21SIND0003016411713500</IBAN></Id></DbtrAcct><DbtrAgt><FinInstnId><ClrSysMmbId><MmbId>SINDPKKA</MmbId></ClrSysMmbId></FinInstnId></DbtrAgt><CdtrAgt><FinInstnId><ClrSysMmbId><MmbId>NBPBPKKA</MmbId></ClrSysMmbId></FinInstnId></CdtrAgt><Cdtr><Nm>Khalid Zamaan</Nm></Cdtr><CdtrAcct><Id><IBAN>PK75SIND0003015594456100</IBAN></Id></CdtrAcct><InstrForNxtAgt><InstrInf>/BNF/Beneficiary info</InstrInf></InstrForNxtAgt><InstrForNxtAgt><InstrInf>/SMPL/Sample data</InstrInf></InstrForNxtAgt><RmtInf><Ustrd>P2P Test Transaction from Sindh Bank</Ustrd></RmtInf></CdtTrfTxInf></FIToFICstmrCdtTrf></Document></Body></DataPDU> 
2023-05-06 10:59:13,110 [http-nio-9090-exec-4] INFO  [RestServerServiceImpl] [RRN="] - [STAN="] - Incoming message signed successfully. 
2023-05-06 10:59:34,954 [http-nio-9090-exec-7] INFO  [ServiceController] [RRN="] - [STAN="] - Request received @ V1 
2023-05-06 10:59:34,954 [http-nio-9090-exec-7] INFO  [RestServerServiceImpl] [RRN="] - [STAN="] - Incoming signing request. Bank: Sindh & Message: <DataPDU xmlns='urn:cma:stp:xsd:stp.1.0'><Body> <AppHdr xmlns='urn:iso:std:iso:20022:tech:xsd:head.001.001.01'><Fr><FIId><FinInstnId><BICFI>SINDPKKA</BICFI></FinInstnId></FIId></Fr><To><FIId><FinInstnId><BICFI>NBPBPKKA</BICFI></FinInstnId></FIId></To><BizMsgIdr>202209070000000</BizMsgIdr><MsgDefIdr>pacs.008.001.08</MsgDefIdr><BizSvc>MPG</BizSvc><CreDt>2022-09-07T18:18:00Z</CreDt></AppHdr><Document xmlns='urn:iso:std:iso:20022:tech:xsd:pacs.008.001.08'><FIToFICstmrCdtTrf><GrpHdr><MsgId>MsgId1</MsgId><CreDtTm>2022-10-24T01:01:01+05:00</CreDtTm><BtchBookg>true</BtchBookg><NbOfTxs>1</NbOfTxs><SttlmInf><SttlmMtd>CLRG</SttlmMtd></SttlmInf></GrpHdr><CdtTrfTxInf><PmtId><InstrId>InstrId1</InstrId><EndToEndId>EndToEndId1</EndToEndId><TxId>TxId1</TxId></PmtId><PmtTpInf><ClrChanl>RTNS</ClrChanl><SvcLvl><Prtry>0100</Prtry></SvcLvl><LclInstrm><Prtry>CTAA</Prtry></LclInstrm><CtgyPurp><Prtry>001</Prtry></CtgyPurp></PmtTpInf><IntrBkSttlmAmt Ccy='PKR'>1</IntrBkSttlmAmt><IntrBkSttlmDt>2022-10-25</IntrBkSttlmDt><ChrgBr>SLEV</ChrgBr><InstgAgt><FinInstnId><ClrSysMmbId><MmbId>SINDPKKA</MmbId></ClrSysMmbId></FinInstnId></InstgAgt><InstdAgt><FinInstnId><ClrSysMmbId><MmbId>NBPBPKKA</MmbId></ClrSysMmbId></FinInstnId></InstdAgt><Dbtr><Nm>Asad Ali</Nm></Dbtr><DbtrAcct><Id><IBAN>PK21SIND0003016411713500</IBAN></Id></DbtrAcct><DbtrAgt><FinInstnId><ClrSysMmbId><MmbId>SINDPKKA</MmbId></ClrSysMmbId></FinInstnId></DbtrAgt><CdtrAgt><FinInstnId><ClrSysMmbId><MmbId>NBPBPKKA</MmbId></ClrSysMmbId></FinInstnId></CdtrAgt><Cdtr><Nm>Khalid Zamaan</Nm></Cdtr><CdtrAcct><Id><IBAN>PK75SIND0003015594456100</IBAN></Id></CdtrAcct><InstrForNxtAgt><InstrInf>/BNF/Beneficiary info</InstrInf></InstrForNxtAgt><InstrForNxtAgt><InstrInf>/SMPL/Sample data</InstrInf></InstrForNxtAgt><RmtInf><Ustrd>P2P Test Transaction from Sindh Bank</Ustrd></RmtInf></CdtTrfTxInf></FIToFICstmrCdtTrf></Document></Body></DataPDU> 
2023-05-06 10:59:34,954 [http-nio-9090-exec-7] INFO  [RestServerServiceImpl] [RRN="] - [STAN="] - Incoming message signed successfully. 
2023-05-06 11:01:54,458 [main] INFO  [FederatedServerApplication] [RRN="] - [STAN="] - Starting FederatedServerApplication on Hasnain-Rabbani with PID 20740 (E:\Workspace\Eclipse\zeroinfinity\thesis\federated-server\federated-server\target\classes started by hp in E:\Workspace\Eclipse\zeroinfinity\thesis\federated-server\federated-server) 
2023-05-06 11:01:54,461 [main] INFO  [FederatedServerApplication] [RRN="] - [STAN="] - No active profile set, falling back to default profiles: default 
2023-05-06 11:01:55,403 [main] INFO  [EnableEncryptablePropertiesBeanFactoryPostProcessor] [RRN="] - [STAN="] - Post-processing PropertySource instances 
2023-05-06 11:01:55,480 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource configurationProperties [org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource] to AOP Proxy 
2023-05-06 11:01:55,482 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource servletConfigInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper 
2023-05-06 11:01:55,482 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource servletContextInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper 
2023-05-06 11:01:55,482 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper 
2023-05-06 11:01:55,482 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableSystemEnvironmentPropertySourceWrapper 
2023-05-06 11:01:55,482 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper 
2023-05-06 11:01:55,482 [main] INFO  [EncryptablePropertySourceConverter] [RRN="] - [STAN="] - Converting PropertySource applicationConfig: [file:./application.yml] [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper 
2023-05-06 11:01:55,613 [main] INFO  [DefaultLazyPropertyFilter] [RRN="] - [STAN="] - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter 
2023-05-06 11:01:56,111 [main] INFO  [TomcatWebServer] [RRN="] - [STAN="] - Tomcat initialized with port(s): 9090 (http) 
2023-05-06 11:01:56,119 [main] INFO  [Http11NioProtocol] [RRN="] - [STAN="] - Initializing ProtocolHandler ["http-nio-9090"] 
2023-05-06 11:01:56,120 [main] INFO  [StandardService] [RRN="] - [STAN="] - Starting service [Tomcat] 
2023-05-06 11:01:56,120 [main] INFO  [StandardEngine] [RRN="] - [STAN="] - Starting Servlet engine: [Apache Tomcat/9.0.36] 
2023-05-06 11:01:56,190 [main] INFO  [[/]] [RRN="] - [STAN="] - Initializing Spring embedded WebApplicationContext 
2023-05-06 11:01:56,191 [main] INFO  [ServletWebServerApplicationContext] [RRN="] - [STAN="] - Root WebApplicationContext: initialization completed in 1657 ms 
2023-05-06 11:01:56,197 [main] INFO  [DefaultLazyPropertyResolver] [RRN="] - [STAN="] - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver 
2023-05-06 11:01:56,202 [main] INFO  [DefaultLazyPropertyDetector] [RRN="] - [STAN="] - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector 
2023-05-06 11:01:56,773 [main] INFO  [DefaultSecurityFilterChain] [RRN="] - [STAN="] - Creating filter chain: Ant [pattern='/v2/api-docs'], [] 
2023-05-06 11:01:56,774 [main] INFO  [DefaultSecurityFilterChain] [RRN="] - [STAN="] - Creating filter chain: Ant [pattern='/configuration/ui'], [] 
2023-05-06 11:01:56,774 [main] INFO  [DefaultSecurityFilterChain] [RRN="] - [STAN="] - Creating filter chain: Ant [pattern='/swagger-resources/**'], [] 
2023-05-06 11:01:56,774 [main] INFO  [DefaultSecurityFilterChain] [RRN="] - [STAN="] - Creating filter chain: Ant [pattern='/configuration/**'], [] 
2023-05-06 11:01:56,774 [main] INFO  [DefaultSecurityFilterChain] [RRN="] - [STAN="] - Creating filter chain: Ant [pattern='/swagger-ui.html'], [] 
2023-05-06 11:01:56,774 [main] INFO  [DefaultSecurityFilterChain] [RRN="] - [STAN="] - Creating filter chain: Ant [pattern='/webjars/**'], [] 
